name,lng,lat
锦天花苑(对侧),118.364790,31.329509
晋家楼(公交站),118.386319,31.395104
晋家楼(对侧),118.385789,31.395100
经开区管委会(公交站),118.405390,31.468931
经开区管委会(对侧),118.404789,31.468900
经开区管委会(西)(公交站),118.402856,31.468433
经开区管委会(西)(对侧),118.403136,31.468363
经开区管委会西(公交站),118.402475,31.467780
经开区管委会西(对侧),118.401919,31.467966
景观大道东(公交站),118.370125,31.376772
景观大道西(公交站),118.365806,31.376705
景观大道西(对侧),118.366142,31.376833
景江东方(公交站),118.363156,31.375353
景江东方(对侧),118.363000,31.375580
镜湖世纪城(公交站),118.414753,31.329136
镜湖世纪城(对侧),118.415211,31.329100
镜湖世纪城(中)(公交站),118.415673,31.332954
镜湖世纪城(中)(对侧),118.416122,31.332853
镜湖小学(公交站),118.383572,31.335434
镜湖小学(对侧),118.384147,31.335272
鸠江北路(公交站),118.416564,31.359236
鸠江北路(对侧),118.417178,31.359296
鸠江饭店(公交站),118.370973,31.332721
鸠江饭店(对侧),118.371189,31.332780
鸠江开发区(公交站),118.429321,31.384306
鸠江开发区(对侧),118.428811,31.384379
鸠江区法院(公交站),118.399526,31.377464
鸠江区法院(对侧),118.400153,31.377624
鸠江区政府(公交站),118.390078,31.369327
鸠江区政府(对侧),118.389789,31.369300
鸠江区政务服务中心(公交站),118.420628,31.368743
鸠江区政务服务中心(对侧),118.421155,31.368821
鸠兹创业街(公交站),118.407266,31.368850
鸠兹创业街(对侧),118.406849,31.368774
鸠兹广场(公交站),118.372104,31.331500
鸠兹广场(对侧),118.372182,31.331856
鸠兹家苑(公交站),118.401772,31.370065
鸠兹家苑(南门)(公交站),118.411964,31.368885
鸠兹家苑(对侧),118.402161,31.370216
鸠兹家苑(东)(公交站),118.416679,31.368884
鸠兹家苑(东)(对侧),118.417150,31.369026
鸠兹家苑(中门)(公交站),118.408353,31.370786
鸠兹家苑(中门)(对侧),118.407839,31.370684
鸠兹家苑北(公交站),118.409142,31.372295
鸠兹家苑北(对侧),118.408829,31.372194
鸠兹家苑东(公交站),118.416679,31.368884
鸠兹家苑东(对侧),118.417150,31.369026
鸠兹家苑西(公交站),118.403616,31.372987
鸠兹家苑西(对侧),118.404211,31.373000
鸠兹小学(公交站),118.425030,31.342096
鸠兹小学(对侧),118.424863,31.341963
九华中路(公交站),118.379345,31.332713
九华中路(对侧),118.378836,31.332587
卡子街(公交站),118.386165,31.326243
卡子街(对侧),118.385805,31.326133
康复路(公交站),118.396772,31.320395
康复路(对侧),118.397192,31.320473
康乐小区(公交站),118.429796,31.334015
康乐小区(对侧),118.430131,31.333859
科创中心(公交站),118.375613,31.412081
科创中心(对侧),118.376182,31.412190
李巷(公交站),118.384066,31.310062
李巷(对侧),118.383844,31.309980
利民路小学(公交站),118.368064,31.306784
利民路小学(对侧),118.367846,31.306923
利民西路(公交站),118.369696,31.311840
利民西路(对侧),118.370165,31.311911
莲塘牡丹园(公交站),118.373607,31.371801
莲塘牡丹园(对侧),118.374138,31.371936
莲塘新村(公交站),118.375991,31.369172
莲塘新村(对侧),118.375857,31.368968
联盛广场(公交站),118.389801,31.342256
联盛广场(对侧),118.390205,31.342340
粮食储运站(公交站),118.356735,31.361818
粮食储运站(对侧),118.357166,31.361911
烈士陵园(公交站),118.398733,31.349809
烈士陵园(对侧),118.399129,31.349658
临江桥(公交站),118.364791,31.319093
临江桥(对侧),118.365151,31.318975
临时站(公交站),118.362967,31.302136
临时站(公交站),118.388536,31.327205
临时站(公交站),118.394895,31.350582
临时站(公交站),118.400353,31.456811
临时站(公交站),118.411441,31.322460
临时站(公交站),118.413994,31.361030
临时站(公交站),118.446496,31.344371
六处小区(公交站),118.435903,31.331267
六处小区(对侧),118.436149,31.331173
龙山老年大学(公交站),118.400757,31.450994
龙山老年大学(对侧),118.401142,31.450867
龙山西路(公交站),118.363967,31.435569
龙山西路(对侧),118.364149,31.435727
砻坊路口(公交站),118.394562,31.317022
砻坊路口(对侧),118.395100,31.316842
绿洲路红杨路(公交站),118.415996,31.324455
绿洲路红杨路(对侧),118.416210,31.324506
绿洲路黄山东路(公交站),118.420768,31.331645
绿洲路黄山东路(对侧),118.421000,31.331420
绿洲路鸠江南路(公交站),118.418478,31.327354
绿洲路鸠江南路(对侧),118.417851,31.327273
马场村(公交站),118.373314,31.289310
马场村(对侧),118.372805,31.289233
马仁山东路(公交站),118.392464,31.307062
马仁山东路(对侧),118.391399,31.307016
马仁山东路口(公交站),118.389566,31.306107
马仁山东路口(对侧),118.390128,31.306243
马仁山西路(公交站),118.364403,31.306577
马仁山西路(对侧),118.363846,31.306723
马仁山西路口(公交站),118.363364,31.309978
马仁山西路口(对侧),118.363000,31.310180
马饮(公交站),118.384933,31.280425
马饮(对侧),118.385168,31.280291
梅莲路(公交站),118.385445,31.346876
梅莲路(对侧),118.384814,31.346985
梅园小区(公交站),118.366535,31.360937
梅园小区(对侧),118.367211,31.360900
美芝压缩机(公交站),118.413177,31.453217
美智空调(公交站),118.366277,31.449332
美智空调(对侧),118.366000,31.449120
梦溪路新胜路(公交站),118.485507,31.361446
梦溪路新胜路(对侧),118.486102,31.361557
民生银行芜湖分行(公交站),118.387078,31.342264
民生银行芜湖分行(对侧),118.386790,31.342284
南关(公交站),118.380951,31.312677
南关(对侧),118.381211,31.312700
南京禄口机场芜湖城市候机楼(公交站),118.392848,31.349929
南京禄口机场芜湖城市候机楼(对侧),118.391662,31.350089
南瑞公交首末站(公交站),118.392185,31.302653
南瑞公交首末站(对侧),118.391789,31.302700
南瑞湖北(公交站),118.393394,31.310659
南瑞湖北(对侧),118.392822,31.310796
南瑞湖东(公交站),118.394771,31.308204
南瑞湖东(对侧),118.395138,31.308064
南瑞湖西(公交站),118.391846,31.307810
南瑞湖西(对侧),118.392136,31.307663
南瑞实验学校(公交站),118.396732,31.306059
南瑞实验学校(对侧),118.397122,31.306247
南瑞新城(公交站),118.391846,31.312214
南瑞新城(对侧),118.392157,31.312320
南塘湖路(公交站),118.389091,31.285101
南塘湖路(对侧),118.388836,31.285213
南翔万商(公交站),118.431039,31.378303
南翔万商(对侧),118.430523,31.378700
南翔万商1号站(公交站),118.433890,31.376855
南翔万商1号站(对侧),118.434000,31.377080
南阳菜市(公交站),118.407043,31.403997
盆塘沿(公交站),118.367093,31.320373
盆塘沿(对侧),118.366868,31.320540
浦江路港湾路(公交站),118.370325,31.414425
浦江路港湾路(对侧),118.369821,31.414495
齐落山路(公交站),118.370903,31.394371
齐落山路(对侧),118.371156,31.394521
奇瑞研究院(公交站),118.368392,31.428441
奇瑞研究院(对侧),118.367837,31.428514
奇瑞BOBO城(公交站),118.397078,31.459505
奇瑞BOBO城(对侧),118.396856,31.459631
汽车部件园(公交站),118.429053,31.342017
汽车部件园(对侧),118.428822,31.341904
汽经一路(公交站),118.372088,31.431758
汽经一路(对侧),118.371874,31.431656
千岛湖路衡山路(公交站),118.399281,31.449475
千岛湖路衡山路(对侧),118.398841,31.449382
千岛湖路龙山路(公交站),118.399689,31.443532
千岛湖路龙山路(对侧),118.400143,31.443368
千岛湖路泰山路(公交站),118.400923,31.460246
千岛湖路泰山路(对侧),118.401169,31.460308
千岛湖路泰山路南(公交站),118.400280,31.456909
千岛湖路泰山路南(对侧),118.399849,31.456774
千岛湖路长山路(公交站),118.399869,31.454043
千岛湖路长山路(对侧),118.400152,31.453875
钱桥路口(公交站),118.390051,31.362900
钱桥路口(对侧),118.389967,31.363078
青山街小区(公交站),118.363776,31.334598
青山街小区(对侧),118.364128,31.334743
清风路口(公交站),118.432548,31.344405
清风路口(对侧),118.433148,31.344272
清水(公交站),118.481484,31.318568
清水(对侧),118.480866,31.318739
清水村(公交站),118.473546,31.320187
清水村(对侧),118.474144,31.320069
清水大弯子(公交站),118.490037,31.316986
清水大弯子(对侧),118.490000,31.317180
清水河中学(公交站),118.483844,31.318034
清水河中学(对侧),118.484134,31.317961
清水街道办(公交站),118.481387,31.321779
清水街道办(对侧),118.480800,31.321743
人民保险公司(公交站),118.381042,31.334666
人民保险公司(对侧),118.380791,31.334682
仁和路安澜路(公交站),118.445161,31.349835
仁济医院·光明社区(公交站),118.446342,31.363219
仁济医院·光明社区(对侧),118.446037,31.363477
融汇化工(公交站),118.362361,31.425187
融汇化工(对侧),118.361828,31.425304
融汇中江广场(公交站),118.367561,31.326270
融汇中江广场(对侧),118.368000,31.326480
瑞东园(公交站),118.398390,31.312131
瑞东园(对侧),118.397857,31.311968
瑞丰商博城(公交站),118.402519,31.313269
瑞丰商博城(对侧),118.403149,31.313427
瑞丰商博城东(北行)(公交站),118.404214,31.312179
瑞丰商博城东(公交站),118.403816,31.312887
瑞丰商博城东(南行)(公交站),118.403816,31.312887
瑞丰商博城东(对侧),118.404118,31.312751
瑞鹄汽车模具(公交站),118.370848,31.429061
瑞鹄汽车模具(对侧),118.371172,31.428996
瑞湖南路(公交站),118.393326,31.305174
瑞湖南路(对侧),118.392841,31.305082
赛格电子市场(公交站),118.397886,31.366810
赛格电子市场(对侧),118.398180,31.366893
三十里(公交站),118.405630,31.444474
三十里(对侧),118.406145,31.444369
三潭公园(公交站),118.372518,31.320018
三潭公园(对侧),118.373210,31.320009
三潭路中山南路(公交站),118.369121,31.321208
三潭路中山南路(对侧),118.368836,31.321088
三塘(公交站),118.400678,31.404354
三塘(对侧),118.401194,31.404471
上陶路(公交站),118.404292,31.373803
上陶路(对侧),118.403143,31.373100
莘苑学生公寓(公交站),118.381984,31.394262
莘苑学生公寓(对侧),118.381835,31.394412
神山北(公交站),118.412609,31.357240
神山北(对侧),118.413143,31.357068
神山公园(公交站),118.411615,31.357418
神山公园(对侧),118.412149,31.357273
神山口(公交站),118.396164,31.339644
神山口(对侧),118.395794,31.339635
神山口(北)(公交站),118.397973,31.340456
神山口(北)(对侧),118.398000,31.340680
神山口(东)(公交站),118.399076,31.338902
神山口(东)(对侧),118.398869,31.339041
神山口(南)(公交站),118.397394,31.338143
神山口(南)(对侧),118.397000,31.337920
神山口立交桥(公交站),118.395912,31.335802
神山口立交桥(对侧),118.396145,31.335931
神山路(公交站),118.413466,31.344448
神山路(对侧),118.412850,31.344526
神山路东(公交站),118.440968,31.344395
神山路东(对侧),118.441165,31.344512
神山路河清路(公交站),118.435747,31.344406
神山路河清路(对侧),118.436150,31.344273
神山路口(公交站),118.429184,31.345139
神山路口(对侧),118.428840,31.345217
师大附外城东校区(北门)(公交站),118.423551,31.347387
师大附外城东校区(东门)(公交站),118.425295,31.345289
师大附小(公交站),118.387513,31.291380
师大附小(对侧),118.388109,31.291554
师大附小北(公交站),118.384456,31.293105
师大附小北(对侧),118.383852,31.293228
师大附小东校区(公交站),118.394865,31.284327
师大附小东校区(对侧),118.395159,31.284182
师大附小西校区(公交站),118.362417,31.297540
师大附小西校区(对侧),118.361853,31.297371
师大花津校区(公交站),118.373611,31.283890
师大花津校区(对侧),118.374110,31.283747
十里江湾公园(公交站),118.354907,31.290255
十里江湾公园(对侧),118.355209,31.290324
十里牌(公交站),118.395630,31.375429
十里牌(对侧),118.395000,31.375220
十里牌立交桥(公交站),118.392860,31.369913
十里牌立交桥(对侧),118.393029,31.369722
时雨景观桥(公交站),118.435304,31.349835
时雨景观桥(对侧),118.434850,31.349926
世纪花园(公交站),118.386026,31.344731
世纪花园(对侧),118.385914,31.344536
市博物馆(公交站),118.430694,31.349848
市博物馆(对侧),118.431151,31.349675
市公安局·消防支队(公交站),118.471367,31.353815
市公安局·消防支队(对侧),118.470880,31.353948
市交警支队(公交站),118.391038,31.365478
市交警支队(对侧),118.390863,31.365637
市气象局(公交站),118.426055,31.368072
市气象局(对侧),118.425858,31.368233
市文化馆·绿影新村(公交站),118.374609,31.355547
市文化馆·绿影新村(对侧),118.375078,31.355333
市文化馆绿影新村(公交站),118.374705,31.355794
市文化馆绿影新村(对侧),118.375109,31.355646
市中心血站·报业集团(公交站),118.372444,31.305365
市中心血站·报业集团(对侧),118.371842,31.305281
水垛(公交站),118.503617,31.337980
水垛(对侧),118.504166,31.337889
水阳江路(公交站),118.379232,31.391728
水阳江路(对侧),118.378904,31.391860
四褐山公交首末站(公交站),118.360347,31.445651
四褐山公交首末站(对侧),118.360000,31.445880
四褐山街道办(公交站),118.361563,31.431259
四褐山街道办(对侧),118.362098,31.431459
松韵园(公交站),118.412973,31.316305
松韵园(对侧),118.413132,31.316440
泰山路(公交站),118.383820,31.460743
泰山路(对侧),118.384144,31.460568
泰苑小区(公交站),118.373975,31.367469
泰苑小区(对侧),118.374139,31.367635
棠梅小学(公交站),118.408069,31.324905
棠梅小学(对侧),118.407968,31.324722
陶沟(公交站),118.361572,31.337066
陶沟(对侧),118.362106,31.337262
天池路神山路(公交站),118.425037,31.343671
天池路神山路(对侧),118.424842,31.343581
天和苑(公交站),118.381645,31.350703
天和苑(对侧),118.382133,31.350840
天柱山路(公交站),118.373176,31.378714
天柱山路(对侧),118.372857,31.378832
天柱山路停调场(公交站),118.361354,31.376381
天柱山路停调场(对侧),118.360853,31.376271
天柱山路西(北侧)(公交站),118.356914,31.376297
天柱山路西(东行)(公交站),118.357506,31.376143
天柱山路西(公交站),118.357506,31.376143
天柱山路西(西行)(公交站),118.357026,31.376303
天柱山路西(对侧),118.358151,31.376074
田家炳实验中学(公交站),118.371835,31.361189
田家炳实验中学(对侧),118.372148,31.361328
